model,level_tag,OA,RPA,RCA,VR
basic_pitch,heavy,0.7231212586970444,0.811050935784551,0.7947945049854332,0.79326859330651
basic_pitch,light,0.7187509011412756,0.8103455311603589,0.7957344960677856,0.7831302692337365
basic_pitch,medium,0.7293817632275267,0.8080451880452939,0.7919984043613694,0.7979247246035345
crepe,heavy,0.5058119268857094,0.9509464879725319,0.9054334304712113,0.5352734130212584
crepe,light,0.4676004257019455,0.9693051127137912,0.9341310931758715,0.48519783129248273
crepe,medium,0.463622190351518,0.9671539680766642,0.9218870081671939,0.47901765999374807
librosa,heavy,0.6746578356454302,0.8469151751266112,0.7886875666793584,0.7460127056276818
librosa,light,0.674862228397723,0.8731097988223543,0.8192722229490652,0.727337055296373
librosa,medium,0.661195476600256,0.873529847241963,0.8192194184236588,0.7043875805041798
