model,class_tag,OA,RPA,RCA,VR
basic_pitch,instrument,0.7324867995908823,0.8494659792347836,0.8400457065622381,0.8046168600239749
basic_pitch,vocal,0.7147464844441996,0.769394723149383,0.7474370497828903,0.777844225703443
crepe,instrument,0.5459272751399762,0.9449324979272153,0.9084186419009908,0.5783498441443409
crepe,vocal,0.4105599329089228,0.9804824423223562,0.9330532116864659,0.41948291533806636
librosa,instrument,0.7052005987604046,0.8566416215432355,0.8175825513589822,0.7710581287549755
librosa,vocal,0.63468155832809,0.872717831354229,0.8005700514912311,0.6799094895803455
