model,snr,OA,RPA,RCA,VR
basic_pitch,15dB,0.043258448328175714,-0.033197725126980826,-0.040498485161120645,0.02633567967693451
basic_pitch,5dB,0.03828729581731194,-0.05302461277980952,-0.0575959054491193,0.007897439571644016
crepe,15dB,-0.051873909868834556,0.0104278057094912,-0.0018565807623006636,-0.059848247136919164
crepe,5dB,-0.06574569305093486,-0.04643051692827016,-0.12833261945800822,-0.04063666479348804
librosa,15dB,0.03438363184502624,-0.004821742604999568,-0.016777702102887537,0.030879148424358238
librosa,5dB,-0.013625536827532203,-0.1086632307247265,-0.12694398016523367,-0.01642849397842816
