model,class_tag,OA,RPA,RCA,VR
basic_pitch,instrument,0.7705904109430419,0.7932414918789353,0.7746018764975242,0.8169560232149476
basic_pitch,vocal,0.7552333520396631,0.7129025904844828,0.6832695646263994,0.8071467514896502
crepe,instrument,0.5196785986876947,0.8906680313588299,0.7260021711334187,0.585217285827282
crepe,vocal,0.4131129124174892,0.9574089608869712,0.8953012689047497,0.4333932164963135
librosa,instrument,0.6458739604535533,0.6982521645123115,0.6271064592221808,0.7190408218269255
librosa,vocal,0.6681127313453574,0.8221099519095125,0.7511860155474773,0.7216922254043588
