model,snr,OA,RPA,RCA,VR
basic_pitch,15dB,0.7649074080742488,0.7591220781335835,0.7319475534414968,0.8241679686683547
basic_pitch,5dB,0.7599362555633851,0.7392951904807548,0.7148501331534981,0.8057297285630642
crepe,15dB,0.46559293635837373,0.9711016044666763,0.9174232296973062,0.4804759960812981
crepe,5dB,0.4517211531762734,0.9142432818289149,0.7909471910015986,0.4996875784247292
librosa,15dB,0.6933202876319015,0.8463301009253348,0.7798102388133701,0.7542364030595027
librosa,5dB,0.645311118959343,0.7424886128056079,0.669643960751024,0.7069287606567163
