model,noise_tag,OA,RPA,RCA,VR
basic_pitch,people,0.7573160446199718,0.7614410142432584,0.7327069130505759,0.8126121650947401
basic_pitch,room,0.7451451379231255,0.7240531468629596,0.7076293262447919,0.793186843174912
basic_pitch,street,0.7807181100139878,0.7442468709630102,0.71530515162212,0.8252146397322293
crepe,people,0.4693769046675528,0.9310172575634696,0.8170446321560678,0.5096696526794308
crepe,room,0.45025728590482134,0.917050764912135,0.8097612591084372,0.4957700249931861
crepe,street,0.4443887113792001,0.9425580184279717,0.8560609369607945,0.4741270385829722
librosa,people,0.6845987634336613,0.7802562694725265,0.7157182794957044,0.7602430067336547
librosa,room,0.5551361886328955,0.7466554239728831,0.6590834893412857,0.6162070070143825
librosa,street,0.7219839714571392,0.7865598395855127,0.7226303783707141,0.7667508213713228
