model,OA,RPA,RCA,VR
basic_pitch,0.03972721585494143,-0.047281652218300496,-0.05264354922776804,0.013238171188348913
crepe,-0.06172765930163682,-0.029961209681470313,-0.09169818066338953,-0.04620139898951636
librosa,0.00028056720176050653,-0.07858500657970224,-0.09503374789889896,-0.0027255906617588144
