model,OA,RPA,RCA,VR
basic_pitch,0.7613761756010146,0.7450381510422638,0.7198024893748494,0.8110704601797691
librosa,0.6592172229886357,0.7725668369506321,0.7015541930173587,0.7206316639733856
crepe,0.45573918692557147,0.9307125890757147,0.8275816297962173,0.4941228442287009
