model,OA,RPA,RCA,VR
basic_pitch,0.6738258775798115,0.6442085364724863,0.6173152564545832,0.7898341735537138
librosa,0.5969519672314351,0.711592724578825,0.6516128687655905,0.7193332998071623
crepe,0.3908991885195182,0.800851661204605,0.7108619252830186,0.4849702162115115
