model,class_tag,OA,RPA,RCA,VR
basic_pitch,instrument,0.708351313924023,0.7391141261998544,0.7160650787295687,0.8089986223001212
basic_pitch,vocal,0.6512057641129144,0.5820290121683486,0.5526170970330411,0.7772781554095157
crepe,instrument,0.49908604726221184,0.8739779040701954,0.7841101521877272,0.5662421421716936
crepe,vocal,0.32001814313637417,0.7529413641547358,0.6628717076557958,0.4317230923065645
librosa,instrument,0.6586875898712831,0.772689680685672,0.7106444486787218,0.7660859151734207
librosa,vocal,0.5565044903294658,0.6715636843708908,0.6129370060638838,0.6887022759465102
