model,OA,RPA,RCA,VR
basic_pitch,-0.04782308216626163,-0.14811126678807796,-0.15513078214803422,-0.007998115437706455
crepe,-0.12656765770769007,-0.15982213755258,-0.2084178851765882,-0.055354027006705775
librosa,-0.06198468855544015,-0.1395591189515093,-0.14497507215066707,-0.0040239548279821236
