model,shift,OA,RPA,RCA,VR
basic_pitch,25cents,0.7101416975389576,0.7308035754092431,0.7027963729490392,0.7942639131532319
basic_pitch,50cents,0.5825934518287862,0.4266649020703899,0.4025700125782669,0.7787058033402902
crepe,25cents,0.4606342509574242,0.9252593139828367,0.8017500874988501,0.4996875784247292
crepe,50cents,0.215711104834047,0.48831536276173076,0.48253312752129585,0.44799733065147646
librosa,25cents,0.6456629896801006,0.8072937907794465,0.7326486979332241,0.7281339983762785
librosa,50cents,0.4745803742506414,0.4711729729040929,0.448035054027389,0.6972242277920655
